CUST_ID,DATE,PRODUCT_ID,ORDER_ID,PRICE,DISCOUNT,COUNT
1,01/10/2016,46,0,586,158,31
1,01/10/2016,30,0,932,130,22
1,01/10/2016,2,0,16,15,383
1,01/10/2016,16,0,16,2,218
1,01/10/2016,17,0,593,130,11
1,01/10/2016,10,0,8,0,252
1,01/10/2016,45,0,5,4,603
1,01/10/2016,14,0,12,0,292
1,01/10/2016,17,0,627,407,25
25,01/10/2016,40,1,6,0,159
25,01/10/2016,41,1,9,5,965
25,01/10/2016,16,1,15,1,435
25,01/10/2016,9,1,16,11,79
25,01/10/2016,39,1,7,5,443
25,01/10/2016,1,1,8,1,382
25,01/10/2016,44,1,19,1,395
25,01/10/2016,32,1,7,1,71
25,01/10/2016,24,1,911,327,31
25,01/10/2016,12,1,10,1,325
25,01/10/2016,46,1,620,403,9
25,01/10/2016,35,1,6,1,751
25,01/10/2016,20,1,701,364,5
25,01/10/2016,17,1,753,301,46
25,01/10/2016,18,1,5,0,334
25,01/10/2016,31,1,995,407,31
25,01/10/2016,18,1,8,6,770
41,01/10/2016,45,2,6,0,672
41,01/10/2016,37,2,695,660,31
41,01/10/2016,12,2,14,0,441
41,01/10/2016,26,2,885,185,47
41,01/10/2016,15,2,6,0,222
41,01/10/2016,20,2,742,274,11
41,01/10/2016,39,2,5,2,751
41,01/10/2016,8,2,18,13,246
41,01/10/2016,27,2,7,6,771
41,01/10/2016,24,2,711,191,4
41,01/10/2016,42,2,7,5,779
41,01/10/2016,24,2,989,880,18
41,01/10/2016,38,2,9,5,735
41,01/10/2016,24,2,601,288,1
41,01/10/2016,45,2,7,0,972
10,01/11/2016,2,3,16,15,79
10,01/11/2016,0,3,8,3,714
10,01/11/2016,23,3,992,585,29
10,01/11/2016,0,3,6,5,346
10,01/11/2016,20,3,635,603,12
10,01/11/2016,24,3,984,560,39
10,01/11/2016,27,3,5,1,996
10,01/11/2016,19,3,7,6,839
10,01/11/2016,21,3,12,0,1
11,01/11/2016,13,4,577,346,33
11,01/11/2016,32,4,8,6,656
11,01/11/2016,7,4,14,12,335
11,01/11/2016,1,4,6,0,490
11,01/11/2016,18,4,5,2,205
42,01/11/2016,7,5,16,6,10
42,01/11/2016,3,5,813,32,34
42,01/11/2016,43,5,554,160,20
42,01/11/2016,14,5,15,11,82
42,01/11/2016,15,5,7,0,97
42,01/11/2016,9,5,18,7,241
42,01/11/2016,4,5,764,573,7
42,01/11/2016,26,5,601,348,15
42,01/11/2016,28,5,8,5,902
42,01/11/2016,12,5,12,3,494
42,01/11/2016,7,5,19,17,195
42,01/11/2016,28,5,5,3,484
15,01/12/2016,16,6,18,15,495
15,01/12/2016,25,6,6,2,965
15,01/12/2016,32,6,9,0,373
15,01/12/2016,23,6,543,255,50
15,01/12/2016,25,6,9,0,380
15,01/12/2016,28,6,5,4,632
41,01/12/2016,5,7,13,2,321
41,01/12/2016,8,7,18,2,284
41,01/12/2016,12,7,11,5,206
41,01/12/2016,22,7,10,7,160
41,01/12/2016,29,7,5,1,310
41,01/12/2016,4,7,697,313,23
30,01/12/2016,31,8,605,417,39
30,01/12/2016,11,8,838,419,4
30,01/12/2016,36,8,14,2,116
30,01/12/2016,40,8,8,5,104
30,01/12/2016,18,8,6,2,800
30,01/12/2016,4,8,601,270,29
30,01/12/2016,41,8,7,4,548
30,01/12/2016,3,8,905,479,7
30,01/12/2016,20,8,896,26,46
30,01/12/2016,4,8,780,444,26
12,01/12/2016,4,9,933,522,1
12,01/12/2016,1,9,9,5,632
12,01/12/2016,5,9,11,4,356
12,01/12/2016,46,9,570,507,43
12,01/12/2016,20,9,659,593,18
12,01/12/2016,1,9,7,3,866
12,01/12/2016,0,9,8,4,772
12,01/12/2016,34,9,14,0,244
12,01/12/2016,9,9,17,2,79
12,01/12/2016,32,9,9,2,592
12,01/12/2016,12,9,12,8,17
12,01/12/2016,44,9,12,0,183
31,01/12/2016,14,10,19,3,100
31,01/12/2016,10,10,8,6,125
31,01/12/2016,12,10,11,4,31
31,01/12/2016,12,10,17,15,325
31,01/12/2016,5,10,15,4,185
31,01/12/2016,37,10,852,340,7
31,01/12/2016,4,10,660,158,24
31,01/12/2016,7,10,11,10,421
31,01/12/2016,43,10,727,138,9
31,01/12/2016,10,10,5,2,410
31,01/12/2016,3,10,665,605,22
31,01/12/2016,18,10,8,4,77
31,01/12/2016,35,10,7,0,840
31,01/12/2016,37,10,822,24,33
31,01/12/2016,1,10,8,3,50
32,01/13/2016,44,11,15,1,266
32,01/13/2016,10,11,8,0,286
32,01/13/2016,25,11,8,0,498
